Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
7\M-15.wav,M,0.28297877,1.6323379,0.37513983,1.2961698,0.14694647,-147.42145,-25.768126,-137.70876,1.3497863,-29.2451,9.197065,-8.887784,-2.4807897,-11.885628,3.5266643,-14.492754,-7.352277,0.6238604,0.0,22.045857184726557,0.0,0.101471454,38.86840611133006,0.7422696,131.23580395280814,0.6140567,0.0,0.021484375,0.10929767601191998,0.007305341
7\M-16.wav,M,0.78847265,1.425493,0.7928704,0.9979274,0.18084024,-131.04337,-55.43078,-85.96514,21.486034,-29.613857,18.842972,-14.065025,-17.719776,4.3274794,20.116673,-12.769337,5.3023214,-23.284142,0.0,18.587784216432645,0.0,0.12175574,44.629919210087685,0.8576652,148.8562571745753,0.3648262,0.0,0.01953125,0.12355246860533953,0.007767133
7\M-17.wav,M,0.6694499,1.0282913,0.89489436,0.87930727,0.57084787,-117.57238,-43.565582,-76.59921,-21.857965,-29.37105,15.278222,-4.300462,18.12867,-33.044857,-1.3162395,-24.864174,0.59640634,-12.245007,0.0,23.191081980856026,0.0,0.24639358,54.03229393885411,0.35559836,138.2267808622965,0.6110371,0.0,0.02685546875,0.07973026763647795,0.0062394547
7\M-18.wav,M,0.38665384,0.77405226,0.6784406,0.5859537,0.4574575,-49.0173,-24.117718,-77.172356,-35.108982,-29.388273,-5.7521544,-10.391062,22.687546,-26.190876,-2.3678405,-28.528778,-1.9244388,-21.092644,0.0,19.92485824016346,0.0,0.2616509,54.518717091158265,0.35434175,127.5933063794971,0.70908403,0.0,0.03955078125,0.298424550332129,0.012071251
7\M-19.wav,M,0.16383561,1.0017855,0.48312193,0.6323621,0.17427003,-30.439928,-5.796692,-75.0051,-20.768383,-12.994306,33.41447,10.971867,3.577621,-33.232094,2.9049525,-14.938984,-4.605318,-13.461451,0.0,20.95365665716384,0.0,0.16760494,49.13075301906494,1.3959341,120.69686263953005,0.6183223,0.0,0.03564453125,0.6473983824253082,0.017779553
7\M-2.wav,M,1.0954053,1.2266955,1.0754242,0.71844107,0.3511503,-161.04079,-77.85872,-46.432274,-9.592001,-0.8517639,9.513093,-15.476251,-4.073892,-8.49968,4.7407584,-4.652938,11.678273,-18.791027,0.0,16.349687621611295,0.0,0.2786191,54.29460593183367,0.12540121,159.5469045817399,0.42120144,0.0,0.0166015625,0.030364646576344967,0.0038505178
7\M-20.wav,M,0.63231087,1.4680369,0.6791004,1.140368,0.38066715,-123.41164,-50.87043,-104.34241,3.9554896,-34.075096,6.8364058,-0.2468712,9.775998,-7.870203,9.97565,-38.74261,9.075003,-0.57519704,0.0,21.25779378822804,0.0,0.13974549,43.858888083613586,0.89076793,142.46433017747663,0.41157886,0.0,0.01806640625,0.1310476316139102,0.007999255
7\M-21.wav,M,0.13424832,0.6458535,0.24672711,0.43493015,0.26919338,-6.3574786,-11.926989,-60.832096,-24.818588,-36.83919,-12.756424,-29.690323,5.635537,-12.815687,12.815966,-14.107604,2.1371098,-16.453867,0.0,17.42843667796685,0.0,0.27225333,56.66455409109887,0.8093689,125.96230842446543,0.6073117,0.0,0.0224609375,0.6646784907206893,0.018015273
7\M-22.wav,M,0.27905276,1.3200679,0.1564539,0.65370643,0.08968561,-121.14517,-18.682724,-100.936874,22.674358,3.5101995,1.1149418,-20.419174,16.932997,-13.697614,-20.042896,-21.479519,7.5088673,-4.6675835,0.0,20.246276164053704,0.0,0.090929754,39.06610193799349,2.2990415,133.93317845153263,0.25736392,0.0,0.0185546875,0.21301968954503536,0.010198701
7\M-23.wav,M,-0.0020026974,0.82098025,0.39225927,0.49012533,0.20257446,-116.86693,0.38121924,-72.7144,-30.696793,-18.71877,17.241524,0.53927684,18.881603,-4.5607567,1.1967934,-17.807499,-3.2229404,-24.548046,0.0,16.53527332302272,0.0,0.27447298,51.76911496904202,0.6770379,118.04160678494569,0.6800685,0.0,0.02392578125,0.07723958045244217,0.0061412244
7\M-24.wav,M,0.12662098,0.7516388,0.24108085,0.57115686,0.300534,-46.613544,-28.972658,-82.579056,-31.566763,-51.067986,-27.268288,-32.62903,1.1038318,-11.56496,-0.065332144,-21.487122,0.5001695,-13.124138,0.0,20.342210461935522,0.0,0.19607928,54.0703820741288,0.8227072,126.01543048640478,0.4416552,0.0,0.01953125,0.40378399286419153,0.014041373
7\M-25.wav,M,0.50901043,0.77559745,0.62383246,0.57665724,-0.13458434,-37.879353,-23.662445,-52.0026,2.6609492,-9.12026,49.617195,-25.206886,-15.614874,-17.726479,6.479369,18.452208,1.5059708,-8.505125,0.0,17.071206274116097,0.0,0.19646323,54.33734664199713,1.1204445,137.1832113441569,0.27240518,0.0,0.015625,0.5292554935440421,0.016075619
7\M-26.wav,M,0.23525189,1.1960782,0.3798194,0.38467067,0.3553088,-106.026794,2.0285156,-98.92384,-4.7261996,29.103117,-13.092119,-17.29126,29.59026,-23.977768,-14.5739155,-11.573221,11.197103,-23.12783,0.0,22.101733482019768,0.0,0.057815142,39.24049433785976,2.439449,130.15547784983173,0.22320305,0.0,0.029296875,0.42417437210679054,0.014391539
7\M-3.wav,M,0.6257492,1.336242,0.4964137,0.8320988,0.26452214,-90.062126,-35.43106,-92.18544,31.136023,-18.639797,4.2548513,-14.456616,18.727701,-8.078084,-10.425067,-8.695441,9.593149,-8.163473,0.0,18.507231643584703,0.0,0.1397242,42.48155471456033,1.5774314,142.5207934515469,0.36783525,0.0,0.03515625,0.2485221354290843,0.011015837
7\M-4.wav,M,0.28720537,1.0116742,0.35180497,0.7983227,-0.051971585,-143.53192,-14.6890335,-75.66974,-6.8902884,-32.15741,36.892624,15.918655,-28.182085,-20.341328,7.3261538,-22.848831,9.047092,-16.090258,0.0,19.84903409665554,0.0,0.16847056,50.017548427254866,1.0316176,129.75555042328213,0.37238494,0.0,0.01611328125,0.07048903685063124,0.005866726
7\M-5.wav,M,0.8776481,1.0709941,1.1187017,0.8368156,0.38110113,-127.700836,-47.70568,-64.89531,-16.170382,-9.5122795,40.643787,-27.366577,22.55415,-24.670582,6.5283394,-33.567345,9.375855,-13.631939,0.0,20.38138668493972,0.0,0.22590587,55.10529773140938,0.4741751,148.97262733279825,0.28590634,0.0,0.0205078125,0.07417459972202778,0.0060181445
7\M-6.wav,M,1.0856687,1.0997759,0.77492726,0.81879663,0.5168113,-163.18553,-73.757675,-54.9939,4.0124216,-39.641945,13.677935,-28.146141,21.847649,-16.123014,9.697798,-28.22623,1.5821397,-23.513294,0.0,21.339261090720733,0.0,0.16838686,51.450776094669386,0.8969338,163.46079461996422,0.40376058,0.0,0.0224609375,0.04654034040868282,0.004767051
7\M-7.wav,M,0.74629927,0.7648021,0.73882455,0.79513264,0.5344859,-141.02362,-44.013584,-39.393723,-24.19234,-40.25278,6.6769094,9.90258,19.910603,-37.591393,4.6242437,-15.687666,-5.1585846,-24.031532,0.0,15.826993789942225,0.0,0.31792668,60.206233566198435,0.16754267,145.12920918699024,0.44202211,0.0,0.02001953125,0.04040130507200956,0.0044415314
