Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
17\BI-178.wav,BI,-0.23028319,0.014289483,0.046432965,0.32085618,0.1060297,-109.01959,22.595734,-13.626711,2.1272042,-41.07213,-6.355573,-22.04224,9.268562,-21.736973,11.026342,-10.450017,8.139058,-14.038475,24.704884,19.15984475217228,13.605187794293357,0.2841983,133.7390790776704,2.0699685,219.72913466343226,0.6777351,0.023238482,0.177734375,0.08438312052749097,0.009448184
17\BI-179.wav,BI,0.07569212,0.24116305,0.093533695,0.289702,0.12280015,-98.0476,-2.6254048,-33.142845,-2.4064379,-35.33555,-4.1627197,-18.740576,7.3967752,-21.522556,3.5305982,-17.366268,7.734711,-14.71091,7.37477,17.530259001471634,3.437454560826564,0.36995214,127.26488150171201,0.64757705,253.9567570762522,0.7737038,0.00282362,0.19140625,0.08031404344365001,0.009081284
17\BI-18.wav,BI,-0.25336298,-0.03250473,-0.031775557,0.26229018,0.16146621,-82.56825,20.054306,-17.949158,3.5933547,-40.071968,-8.615644,-34.700775,0.042818367,-29.446667,10.33597,-11.832809,14.188011,-18.964048,12.479167,21.758353487348217,2.216934448674047,0.22815172,135.68683559886642,3.0883732,214.67928167803268,0.5857558,0.0028024407,0.17919921875,0.19569095969200134,0.013864475
17\BI-180.wav,BI,0.14121956,0.14001921,0.062467337,0.34989244,0.23039803,-105.98014,-5.1778426,-30.037653,-0.34264573,-45.82362,-8.818027,-24.518911,5.947101,-21.533648,10.403038,-19.99967,9.213802,-13.866612,37.806217,19.28773015653127,1.7641067850901362,0.3316207,130.45520309271376,0.8296669,258.2770726816671,0.6811325,0.008127527,0.2556966145833333,0.10419469512999058,0.010415763
17\BI-181.wav,BI,0.035413757,0.050494082,0.11315204,0.2590564,0.20964155,-97.11042,-1.92276,-22.54952,-8.963026,-37.789875,-14.298282,-33.817764,6.0362487,-16.107094,12.273827,-13.510577,7.7319894,-5.5150027,9.831532,17.351288356403845,1.9286491663080063,0.32716691,134.61580966264822,1.2838027,246.0781362979534,0.6545562,0.003256676,0.17529296875,0.08646655781194568,0.009851968
17\BI-182.wav,BI,0.15469211,0.091379546,0.15981284,0.30941457,0.15846981,-108.02739,-10.563145,-25.938427,-11.570697,-42.415165,-2.6868324,-29.022173,3.8564892,-21.756607,16.187162,-7.1182513,14.578191,-10.037975,15.835166,19.385465248148297,5.340991822658066,0.32140312,133.45084207712299,1.0524209,262.4596859126859,0.5261544,0.00088136696,0.2001953125,0.077902298187837,0.008835568
17\BI-183.wav,BI,0.19420111,0.11373956,0.06314092,0.345182,0.21512121,-90.13526,-5.9182067,-24.499823,2.717828,-41.594265,-1.841719,-26.611357,8.624732,-20.338827,15.139377,-13.818784,14.104561,-15.093941,45.81398,19.687611582888078,4.456622729562436,0.351885,132.9402611310188,0.89877224,262.6036576374658,0.6016031,0.0021300502,0.2779947916666667,0.18130316268652677,0.012038452
17\BI-184.wav,BI,-0.039446168,0.0047376193,0.18889798,0.22298078,0.11923485,-101.96579,6.0849714,-20.500126,-8.597793,-38.42666,-6.512642,-25.424913,8.147305,-20.700079,6.609562,-14.585843,12.306666,-10.237328,45.12172,18.207212477501248,5.560459767431465,0.33930367,135.28274457750615,1.2645693,242.51173096435906,0.6410897,0.0097396085,0.1787109375,0.10151273780502379,0.0095479665
17\BI-185.wav,BI,0.10202066,0.076101676,0.12141064,0.30769825,0.06866062,-102.57703,-0.33295965,-24.087372,-6.2924843,-43.83353,1.7205911,-31.382565,3.9034986,-24.138826,8.107666,-20.582956,12.568924,-10.02947,0.0,20.23142561686836,0.0,0.34353572,134.0028489079865,0.6508965,256.17971142430315,0.58228946,0.0,0.12158203125,0.11866939067840576,0.008781149
17\BI-186.wav,BI,-0.11624469,0.13657558,0.17066412,0.37216356,0.15165105,-83.9996,17.31659,-18.719162,-6.4191227,-40.834873,-5.7951965,-14.301493,10.842825,-11.463968,16.590477,-8.914921,3.0862164,-15.736002,19.17935,17.38669992773578,5.66509242445304,0.31425285,130.7136435511651,2.398123,226.89573540947006,0.66708463,0.011454097,0.16552734375,0.14575400692410767,0.011901306
