CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '0.9998', '0.0002', '0.0000']
M	|	['0.0018', '0.0008', '0.0599', '0.9372', '0.0004']
BO	|	['0.0003', '0.8602', '0.0001', '0.1393', '0.0001']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '0.9999', '0.0000', '0.0000', '0.0001']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '0.5061', '0.0000', '0.4939', '0.0000']
M	|	['0.0005', '0.0015', '0.0103', '0.9876', '0.0001']
CT	|	['0.0014', '0.0000', '0.9979', '0.0006', '0.0000']
BI	|	['0.9983', '0.0000', '0.0015', '0.0001', '0.0001']
BI	|	['1.0000', '0.0000', '0.0000', '0.0000', '0.0000']
BI	|	['1.0000', '0.0000', '0.0000', '0.0000', '0.0000']
BI	|	['0.9999', '0.0000', '0.0000', '0.0000', '0.0001']
BI	|	['0.9995', '0.0002', '0.0000', '0.0000', '0.0003']
BI	|	['0.9995', '0.0002', '0.0000', '0.0000', '0.0003']
BI	|	['0.9996', '0.0001', '0.0000', '0.0000', '0.0003']
BI	|	['0.9976', '0.0010', '0.0001', '0.0008', '0.0005']
BO	|	['0.0032', '0.9940', '0.0008', '0.0016', '0.0003']
M	|	['0.0000', '0.0000', '0.0000', '0.9997', '0.0003']
CT	|	['0.0001', '0.0001', '0.9853', '0.0145', '0.0000']
CT	|	['0.0000', '0.0000', '0.9999', '0.0001', '0.0000']
CT	|	['0.0000', '0.0000', '0.9999', '0.0001', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '1.0000', '0.0000', '0.0000']
CT	|	['0.0000', '0.0000', '0.9995', '0.0005', '0.0000']
M	|	['0.0000', '0.0000', '0.0000', '1.0000', '0.0000']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
BO	|	['0.0000', '1.0000', '0.0000', '0.0000', '0.0000']
