Filename,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
source10_segment_0.wav,-247.34747,171.07893,-11.058022,6.8527164,11.382299,432.1402,15.588107394864968,9.612267967283548,0.53406376,0.065361924,0.002398948,2093.0376767171074,3242.3772617998993,0.04270496587643678,4.1708423550418345,6.277948
source10_segment_1.wav,-207.67012,78.07201,-46.926575,-4.496513,1.4266827,4102.3306,13.96463845784181,9.205293344264176,0.56516963,0.044780686,0.04439945,4818.330298025142,4813.709849784815,0.13449061602011494,6.5465932987856466,4.2431793
source10_segment_10.wav,-306.7171,97.0712,-29.03477,17.96257,-4.24553,1896.318,14.89769665180043,14.56884639337809,0.4630141,0.06760124,0.03854895,4369.938584478862,4453.101186140345,0.10536211386494253,1.8877650776964132,5.7104235
source10_segment_100.wav,-139.6133,166.43918,-30.477987,22.130665,11.988312,191.14221,15.277236902052566,7.096106975136649,0.5635965,0.049393613,0.0026456432,2275.3004716135824,3093.541587742308,0.05466505028735632,15.017958380901012,5.505962
source10_segment_101.wav,-103.69254,80.767044,-49.225338,-11.584733,5.4091487,1107.4054,14.74366512650264,9.507336832277147,0.5123376,0.051744964,0.047681168,4848.6915669390455,4830.822082655789,0.13336813038793102,11.642465965806188,4.4868116
source10_segment_102.wav,-249.84103,119.61362,-26.961832,22.87067,-4.8479023,865.52185,15.06477006445723,12.918869460510736,0.49194717,0.07124528,0.018873237,3568.395079848399,3981.6151624540034,0.08459051724137931,1.467504844920053,6.0844145
source10_segment_104.wav,-275.15286,112.00629,-24.88486,25.537365,-5.3835816,607.00275,14.470340297575676,10.304885507229105,0.5076006,0.06583276,0.02345781,3799.723580243381,4190.622487144456,0.08667834051724138,0.4769274494422309,5.450969
source10_segment_105.wav,-180.505,143.15604,-25.053408,28.606403,4.825565,1021.4652,15.3593701837153,9.905180410674864,0.5446641,0.05885285,0.010993746,2874.855765017223,3596.974723354104,0.06581694504310345,8.65393953333808,5.830499
source10_segment_106.wav,-164.69595,160.8256,-23.526827,26.356405,13.157753,395.30194,15.558096352826658,11.050660761093571,0.57176965,0.049667925,0.003986989,2356.1273543487814,3240.316867843154,0.05340225395114943,10.322077078475601,5.7825255
source10_segment_107.wav,-230.4826,86.39333,-39.658413,14.911534,0.34262538,1569.2225,14.91505486033758,11.597444356795505,0.48867607,0.06213881,0.035907432,4515.867932489076,4595.6141203457255,0.1070177801724138,1.8082227330073455,5.447202
source10_segment_108.wav,-118.415985,67.37351,-52.640507,-16.964363,3.0032868,1344.8826,14.833531821908412,9.429207411504404,0.53616935,0.041702837,0.049413603,5189.324927711561,5075.1963752547745,0.14834770114942528,8.741607304366381,4.198571
source10_segment_109.wav,-179.6269,170.10312,-17.412643,14.084833,0.44828418,1642.6953,15.238436236529534,13.681600320809602,0.4328674,0.08724388,0.0037365607,2183.9411503651313,3173.4514488988507,0.044338182471264365,33.89023632557815,8.423577
source10_segment_11.wav,-134.74454,168.1945,-31.596964,24.125542,14.430247,88.56954,15.645868959219127,8.953065558897752,0.5717997,0.050031442,0.0024142028,2217.3767555354993,3027.9554968582697,0.0524481411637931,16.38880503404821,5.86959
source10_segment_110.wav,-121.45744,159.18399,-25.50253,25.743359,0.9252206,690.88806,15.914496217920302,14.031536803704938,0.4607767,0.07584549,0.0059592486,2487.921198894549,3209.853680168631,0.05832435344827586,40.75265031536729,8.521987
source10_segment_111.wav,-126.9728,180.46138,-23.146778,10.207867,-4.520458,395.1275,15.73481538726669,12.682577242763418,0.47407687,0.07159581,0.002364824,2002.5119794468055,2934.771898417933,0.0365930316091954,40.022112844743354,7.5845594
