Filename,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness,Predicted_Label
source7_segment_936.wav,-408.61526,94.83412,8.925931,11.879308,-6.2620816,62.269653,13.321287597938596,6.877805930120272,0.5690398,0.03821357,0.05570087,5245.382007696328,5850.340739036789,0.1201227999281609,0.0141106697789937,6.328073,noise
source7_segment_937.wav,-257.5878,137.27754,-3.5072148,21.746954,7.925677,3959.8413,14.180578296304104,8.81980629138293,0.59852785,0.054256033,0.026999112,3390.932979082139,4295.944454958292,0.0774627334770114,18.681415601590423,7.2262554,breathing
source7_segment_938.wav,-339.2905,121.79243,9.176847,23.437057,8.210657,2023.8672,14.926171301436783,11.163193402855166,0.63182586,0.046949152,0.020935949,3759.531130769371,4905.131159980889,0.068005792025862,3.876297749062149,8.425061,noise
source7_segment_939.wav,-199.89735,53.756954,-15.105079,-11.696912,-2.152047,2666.3125,13.75837560441988,8.972067278702978,0.5901345,0.036959346,0.15067638,7079.893993828009,6035.530532403225,0.2351944145114942,1.4928606497931345,3.935016,breathing
source7_segment_940.wav,-345.79013,103.45939,8.824855,14.268906,-0.4567162,2686.029,13.647300742106935,8.228120491885589,0.59784657,0.047954623,0.048779298,4827.064080874667,5462.591112053599,0.1068157327586206,2.299181212918736,7.016192,noise
source7_segment_941.wav,-410.7059,95.08058,14.387802,18.311234,-1.6575592,56.556683,13.451335398633192,8.872557215293048,0.55656976,0.0320843,0.048010487,5178.70085802615,5884.011240909379,0.1107163703304597,0.0157050673682996,6.910627,noise
source7_segment_942.wav,-408.1749,95.25901,12.544276,16.269308,-5.004756,63.190765,13.308244929360802,7.705951869624287,0.57779616,0.034904893,0.05228663,5184.303381730591,5857.771324050276,0.1213350844109195,0.0175808663453066,6.4547734,noise
source7_segment_943.wav,-398.63644,96.29202,8.575516,17.134785,-2.79971,76.467514,13.74737068634427,8.373964278064552,0.54522055,0.03559881,0.049581192,5047.612858599508,5715.243567404509,0.117395159841954,0.0211349061415719,5.999161,noise
source7_segment_944.wav,-397.68985,97.02989,16.62287,23.87055,-1.9355953,77.63604,13.624209531986375,8.814677556316884,0.589053,0.037747998,0.039984275,4904.296463517764,5723.395307954492,0.1084321120689655,0.029965586378912,7.047479,noise
source7_segment_945.wav,-268.3637,133.96202,-1.3544626,22.943544,6.062003,3590.6284,14.217655658954556,10.148373021514663,0.59620124,0.045399264,0.025520308,3418.2380737124126,4365.88868677022,0.0758968660201149,17.85485099883201,7.493578,breathing
