Filename,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,ZCR,STE,Spectral_Skewness
source10_segment_0.wav,-247.34747,171.07893,-11.058022,6.8527164,11.382299,4.3213043,-31.769821,-23.865383,-25.112526,6.3587275,9.170333,8.4940815,-14.434638,0.04270496587643678,8.279678519279964,6.277948
source10_segment_1.wav,-207.67012,78.07201,-46.926575,-4.496513,1.4266827,9.563294,-3.7830515,7.926801,-7.6191826,0.8879634,-2.5091858,-3.8473034,-8.210221,0.13449061602011494,13.011734696929397,4.2431793
source10_segment_10.wav,-306.7171,97.0712,-29.03477,17.96257,-4.24553,-0.6659403,-15.726733,1.2754644,-2.321913,1.1667358,0.72833323,6.049837,1.930725,0.10536211386494253,3.7534889050534574,5.7104235
source10_segment_100.wav,-139.6133,166.43918,-30.477987,22.130665,11.988312,4.079345,-36.83021,-8.747863,-11.773706,13.235798,2.932879,0.009943554,-5.330861,0.05466505028735632,29.782308993539935,5.505962
source10_segment_101.wav,-103.69254,80.767044,-49.225338,-11.584733,5.4091487,6.839028,-9.872926,9.539614,-7.9395123,3.1015387,-8.218906,-4.8705425,-3.8929117,0.13336813038793102,22.749632986069752,4.4868116
source10_segment_102.wav,-249.84103,119.61362,-26.961832,22.87067,-4.8479023,-0.40110692,-26.826376,-25.137625,-19.01627,6.0662947,6.216106,0.7317047,-13.251041,0.08459051724137931,2.8359986839537648,6.0844145
source10_segment_104.wav,-275.15286,112.00629,-24.88486,25.537365,-5.3835816,-0.36304834,-24.563416,-20.928143,-16.464502,6.28649,9.002796,1.3353713,-11.271635,0.08667834051724138,0.946268755503684,5.450969
source10_segment_105.wav,-180.505,143.15604,-25.053408,28.606403,4.825565,3.596109,-34.020042,-14.732229,-13.590468,8.927723,5.6251607,4.4913464,-7.4349513,0.06581694504310345,17.2078651083826,5.830499
source10_segment_106.wav,-164.69595,160.8256,-23.526827,26.356405,13.157753,5.0794606,-37.557312,-13.860059,-15.533494,10.2210655,5.013751,6.1208143,-8.519553,0.05340225395114943,20.057102786762446,5.7825255
source10_segment_107.wav,-230.4826,86.39333,-39.658413,14.911534,0.34262538,5.4448733,-13.5825615,-0.5909233,-3.373047,6.7757792,1.4059298,-0.12583072,-7.4957232,0.1070177801724138,3.5874570705125044,5.447202
source10_segment_108.wav,-118.415985,67.37351,-52.640507,-16.964363,3.0032868,5.721332,-8.584689,10.075232,-10.561052,1.7772164,-8.148641,-4.98165,-6.297694,0.14834770114942528,17.242790813054675,4.198571
source10_segment_109.wav,-179.6269,170.10312,-17.412643,14.084833,0.44828418,2.098097,-21.96857,-6.9902196,-8.36765,6.62933,4.5578127,-2.113334,-3.8195162,0.044338182471264365,67.38879046351488,8.423577
source10_segment_11.wav,-134.74454,168.1945,-31.596964,24.125542,14.430247,7.3505483,-34.361492,-9.798001,-12.336032,8.7559,5.3273735,2.6171663,-4.192841,0.0524481411637931,32.33786485000546,5.86959
source10_segment_110.wav,-121.45744,159.18399,-25.50253,25.743359,0.9252206,7.8330746,-20.822811,-5.8405743,-11.313794,-4.707896,2.8341937,-0.96797925,2.7891023,0.05832435344827586,80.37463091119011,8.521987
source10_segment_111.wav,-126.9728,180.46138,-23.146778,10.207867,-4.520458,-2.1165257,-23.832458,-2.0476,-2.6300836,5.787129,-0.72662055,-1.9480718,2.9810941,0.0365930316091954,78.38083106990176,7.5845594
source10_segment_113.wav,-162.22229,176.40785,-16.567516,13.490916,7.1987557,7.0352144,-24.518303,-5.986382,-10.795473,5.738734,1.7831804,3.036936,0.6602439,0.03765378053160919,52.73696802872308,7.6924586
source10_segment_114.wav,-204.47658,152.42442,-14.742391,22.875452,9.527163,8.363535,-23.325377,-11.646643,-12.924295,8.354262,8.571176,-0.77086455,-3.3516169,0.05140422952586207,44.42127139878127,8.225652
source10_segment_115.wav,-193.54482,154.81354,-10.431551,16.715124,9.5285845,13.03856,-21.212294,-3.9703257,-8.2597275,4.2465987,5.756237,-1.8703557,-2.9419224,0.05041644216954023,46.07634765201987,8.056134
source10_segment_116.wav,-184.66602,169.93518,-15.296447,15.28917,1.1193929,1.9967202,-26.269001,-5.257899,-9.276849,9.344409,-0.61012155,3.365522,-0.45165372,0.05297570941091954,26.603659925853897,6.8254986
source10_segment_117.wav,-84.74222,58.989674,-61.08781,-18.041391,1.2042944,5.3992105,-2.7781582,13.592999,-7.3002973,-3.4155085,-9.644176,-6.252599,-5.0561376,0.15068247126436782,24.174635348188552,3.7533042
source10_segment_119.wav,-123.351555,166.61143,-23.712818,19.949286,7.7689905,8.513276,-16.642628,-0.909367,-4.778771,4.8375587,0.46741423,-3.312512,-1.8550608,0.036458333333333336,104.38980999237847,9.89392
source10_segment_12.wav,-205.5496,163.84766,-15.553649,24.620432,13.430187,4.760605,-29.634544,-15.5564,-17.347532,9.677317,9.07771,7.6267567,-8.972266,0.0463586566091954,13.9087847290111,6.4173107
source10_segment_120.wav,-283.09506,147.24782,-3.1508017,15.039635,7.8553433,7.478033,-17.823633,-7.3794613,-11.104383,8.360703,10.367896,2.559697,-8.728482,0.05097768498563218,15.018414538963858,7.915065
source10_segment_121.wav,-182.32341,67.38049,-48.54188,-6.4162836,7.083,5.424261,-4.979984,4.6651897,-5.0932145,4.959566,3.0560927,-4.2075534,-3.081849,0.15216415229885058,5.993658864785028,4.224472
source10_segment_122.wav,-269.77936,139.35211,-12.502652,17.439213,-2.0729885,3.1823728,-28.448719,-30.643387,-21.127,7.955118,10.448856,2.213685,-15.352694,0.05883508441091954,2.6978319645805775,6.5619607
source10_segment_123.wav,-258.10403,125.64698,-25.24003,25.118898,-5.1511636,4.5214653,-25.981993,-29.769728,-20.530539,7.127346,11.303414,1.9927596,-15.547595,0.07729997306034483,2.3022571355425594,5.742748
source10_segment_124.wav,-147.47502,155.32326,-29.071266,27.640383,11.354913,6.4951525,-38.107033,-13.845016,-14.738716,9.914493,7.0692,6.1917605,-7.0878596,0.057112068965517244,23.04633113002169,5.9257827
source10_segment_125.wav,-165.28969,145.56233,-19.662916,35.774155,5.918121,5.880831,-32.492805,-18.590935,-16.8463,8.275557,3.315627,6.7912498,-9.590863,0.05472117456896552,19.417851321891636,6.598193
source10_segment_126.wav,-211.24867,101.11552,-41.93832,7.5467024,6.547329,8.400786,-11.915504,-3.309647,-9.794708,8.187491,4.864521,-0.725238,-9.6774435,0.1025110003591954,5.9733983723810695,4.8246813
source10_segment_127.wav,-121.59535,68.93916,-52.58371,-15.953199,2.7897508,7.0786757,-7.6841207,7.4798894,-9.331368,1.7856467,-7.9073024,-6.5456285,-7.6279182,0.14918956537356323,13.87814875222186,3.952977
source10_segment_128.wav,-255.18845,112.698616,-27.024574,32.350117,-6.0531173,3.062245,-28.122147,-30.756472,-18.188314,7.2819886,7.089649,-1.4084218,-13.743041,0.09591078484195402,2.7284105279557833,5.713903
source10_segment_129.wav,-292.40204,132.51115,-20.239447,17.316048,0.05383803,-2.1501977,-25.739437,-28.088713,-22.736944,4.657755,10.267623,0.02925771,-16.936554,0.06583939475574713,1.667015777151475,6.7832446
source10_segment_13.wav,-96.51868,57.679405,-66.24791,-18.72671,4.844182,8.499751,-2.590765,14.2249,-8.947758,1.1411388,-7.3457704,-5.549881,-7.996458,0.15514435165229884,21.008996330683345,3.9846892
source10_segment_130.wav,-268.6976,126.268845,-26.951868,19.657154,-3.895057,-0.068213865,-23.126476,-22.42381,-15.320506,6.6656656,7.838486,1.8193322,-13.306305,0.0761157507183908,1.7272311881634181,5.70978
source10_segment_131.wav,-144.27907,160.15645,-29.773806,26.735971,11.822566,3.9903193,-35.498333,-10.341821,-13.0979805,11.688324,3.9900243,4.0547214,-5.72703,0.05588855962643678,25.568122380445228,5.805458
