Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed11 (15).wav,mixed,-178.28067,117.89611,-14.204427,18.100578,5.8469057,2389.8325,15.693471277593346,19.931453503296364,0.45157984,0.098232456,0.037540108,3829.7108458708503,4233.79603725806,0.08711049748563218,30.79933686879049,10.651399
mixed11 (16).wav,mixed,-136.34248,101.32322,-27.76114,5.379158,-10.982845,2034.2585,16.03198733545931,18.467411348322035,0.407666,0.08455423,0.06252551,4639.119156067723,4391.096391132881,0.1382453304597701,31.92740579610529,6.5596967
mixed11 (17).wav,mixed,-94.54578,103.92297,-32.738945,-5.5831237,-11.337756,2577.5247,15.263719372072176,17.697329482430806,0.44545376,0.08035489,0.064626776,4507.19122019181,4406.576731426847,0.12838990660919541,38.81736034756752,6.676929
mixed11 (18).wav,mixed,-116.933586,141.82802,-19.079918,16.312487,-10.188245,1585.2019,15.282829693367676,13.572514156519697,0.44304016,0.09301856,0.010401732,2847.690040575952,3516.4992838378416,0.06274694683908046,43.0232004978441,8.34136
mixed11 (19).wav,mixed,-115.28266,108.72952,-23.105053,-7.1651225,0.74098706,1461.9749,14.566892584016275,12.810143101297111,0.5355179,0.06754369,0.05694224,4573.249233301013,4698.319973834252,0.12512347341954022,21.53967132982448,5.713506
mixed11 (2).wav,mixed,-86.368004,75.51555,-26.686083,-14.97806,-14.556769,2363.7363,14.45818011411565,12.250243570869939,0.46530023,0.07350141,0.10627135,6082.23375408921,5300.682474646762,0.19333131285919541,36.52919757539525,5.1435466
mixed11 (20).wav,mixed,-183.24606,128.84267,-17.65437,24.980637,1.9684596,1594.1428,16.11152763017181,24.313278403511436,0.49897757,0.07485338,0.011366215,3154.1176021612373,3817.215324298626,0.07515041307471264,19.271445706319817,8.726044
mixed11 (21).wav,mixed,-110.87022,77.579605,-27.096827,-14.320562,-3.181922,2077.5833,14.51970699944298,13.274092317153707,0.4656501,0.06474199,0.10224571,6048.643278245871,5197.399020119751,0.20672256645114942,19.347831820579234,5.248029
mixed11 (22).wav,mixed,-99.87078,85.71855,-26.388058,-2.3945432,-9.121124,2051.0947,14.709405552687242,15.7693361223814,0.4837732,0.0787059,0.08437902,5391.326509237255,4827.223584204946,0.16902388649425287,25.277822564059942,5.6285954
mixed11 (23).wav,mixed,-266.44833,136.51233,-4.533228,4.7293534,-1.166867,2190.4106,14.76108257327547,16.082454784462918,0.5148747,0.07153289,0.010012036,3060.075841590587,4290.872630761555,0.05514210668103448,7.915831816205055,7.758167
